parameter,i,j,value
class,68,9,0.0848638
class,69,0,0.09588042
class,69,1,0.0872508
class,69,2,0.6599601
class,69,3,0.8690618
class,69,4,0.19951014
class,69,5,0.823648
class,69,6,0.4028244
class,69,7,0.12435698
class,69,8,0.13417919
class,69,9,0.223794
class,70,0,0.9280567
class,70,1,0.14390062
class,70,2,0.04005139
class,70,3,0.06040454
class,70,4,0.695073
class,70,5,0.90854436
class,70,6,0.9005365
class,70,7,0.9235775
class,70,8,0.9321008
class,70,9,0.9117345
class,71,0,0.08860384
class,71,1,0.889476
class,71,2,0.8960737
class,71,3,0.10113051
class,71,4,0.852602
class,71,5,0.9234326
class,71,6,0.29870757
class,71,7,0.101170234
class,71,8,0.9096517
class,71,9,0.18120237
class,72,0,0.24723133
class,72,1,0.9535067
class,72,2,0.8879082
class,72,3,0.11757467
class,72,4,0.07508086
class,72,5,0.9031549
class,72,6,0.8455353
class,72,7,0.15267657
class,72,8,0.9327401
class,72,9,0.13899004
class,73,0,0.94648546
class,73,1,0.8897056
class,73,2,0.3568095
class,73,3,0.93020475
class,73,4,0.11459974
class,73,5,0.053932417
class,73,6,0.88486284
class,73,7,0.88854426
class,73,8,0.88102716
class,73,9,0.21319777
class,74,0,0.91289717
class,74,1,0.88505965
class,74,2,0.089038126
class,74,3,0.91539216
class,74,4,0.29663062
class,74,5,0.90525514
class,74,6,0.904261
class,74,7,0.8923136
class,74,8,0.058143985
class,74,9,0.7992742
class,75,0,0.17471988
class,75,1,0.91116744
class,75,2,0.35707137
class,75,3,0.94317263
class,75,4,0.3753518
class,75,5,0.8588079
class,75,6,0.80136114
class,75,7,0.90578246
class,75,8,0.09868826
class,75,9,0.13583495
class,76,0,0.8440647
class,76,1,0.07196391
class,76,2,0.57003397
class,76,3,0.15345167
class,76,4,0.20595682
class,76,5,0.8270778
class,76,6,0.81132567
class,76,7,0.106752284
class,76,8,0.20613125
class,76,9,0.855689
class,77,0,0.8704637
class,77,1,0.08693636
class,77,2,0.91049695
class,77,3,0.12510347
class,77,4,0.115182266
class,77,5,0.67487353
class,77,6,0.61956775
class,77,7,0.7231347
class,77,8,0.17705803
class,77,9,0.21218415
class,78,0,0.08267729
class,78,1,0.88070315
class,78,2,0.23010525
class,78,3,0.065789744
class,78,4,0.08229378
class,78,5,0.18814652
class,78,6,0.88623047
class,78,7,0.88677454
class,78,8,0.65645456
class,78,9,0.11788276
class,79,0,0.095271766
class,79,1,0.9234319
class,79,2,0.8049273
class,79,3,0.110644266
class,79,4,0.61686194
class,79,5,0.94048274
class,79,6,0.13178343
class,79,7,0.08153097
class,79,8,0.091596164
class,79,9,0.33194286
class,80,0,0.92980593
class,80,1,0.09663837
class,80,2,0.06805851
class,80,3,0.934955
class,80,4,0.8993724
class,80,5,0.13497119
class,80,6,0.28718978
class,80,7,0.11289464
class,80,8,0.8778948
class,80,9,0.88561296
class,81,0,0.08072214
class,81,1,0.9008777
class,81,2,0.86395806
class,81,3,0.050582975
class,81,4,0.86455095
class,81,5,0.78440064
class,81,6,0.12318467
class,81,7,0.097066775
class,81,8,0.107325524
class,81,9,0.39675915
class,82,0,0.8985599
class,82,1,0.82550603
class,82,2,0.28796855
class,82,3,0.12143356
class,82,4,0.25697505
class,82,5,0.083509035
class,82,6,0.13149935
class,82,7,0.9061878
class,82,8,0.18963625
class,82,9,0.10679787
class,83,0,0.117016934
class,83,1,0.18806228
class,83,2,0.16065434
class,83,3,0.8501261
class,83,4,0.10600872
class,83,5,0.7934494
class,83,6,0.14289619
class,83,7,0.08641624
class,83,8,0.34918952
class,83,9,0.10279956
class,84,0,0.9471183
class,84,1,0.96390706
class,84,2,0.94827026
class,84,3,0.077840604
class,84,4,0.89901894
class,84,5,0.97076195
class,84,6,0.9345074
class,84,7,0.93623304
class,84,8,0.95691836
class,84,9,0.3136562
class,85,0,0.8613489
class,85,1,0.70707875
class,85,2,0.3425911
class,85,3,0.0658289
class,85,4,0.8153297
class,85,5,0.09691331
class,85,6,0.73948807
class,85,7,0.062113132
class,85,8,0.8830482
class,85,9,0.82166153
class,86,0,0.07312767
class,86,1,0.9326469
class,86,2,0.93161494
class,86,3,0.08921481
class,86,4,0.5101545
class,86,5,0.8557764
class,86,6,0.06277111
class,86,7,0.8898462
class,86,8,0.8782141
class,86,9,0.7257921
class,87,0,0.8782596
class,87,1,0.04120336
class,87,2,0.5766048
class,87,3,0.90849817
class,87,4,0.5371253
class,87,5,0.12796552
class,87,6,0.699848
class,87,7,0.08065083
class,87,8,0.8950492
class,87,9,0.19181149
class,88,0,0.16664462
class,88,1,0.87317145
class,88,2,0.10698069
class,88,3,0.10388889
class,88,4,0.8042518
class,88,5,0.10091628
class,88,6,0.6805422
class,88,7,0.9228849
class,88,8,0.12817182
class,88,9,0.17150886
class,89,0,0.8537667
class,89,1,0.75012326
class,89,2,0.15367363
class,89,3,0.09316758
class,89,4,0.10690715
class,89,5,0.0863892
class,89,6,0.12885728
class,89,7,0.084046975
class,89,8,0.11856951
class,89,9,0.7649725
class,90,0,0.9364043
class,90,1,0.0895631
class,90,2,0.12836829
class,90,3,0.89252955
class,90,4,0.77833253
class,90,5,0.8591677
class,90,6,0.12616451
class,90,7,0.06758456
class,90,8,0.89131105
class,90,9,0.93410486
class,91,0,0.93903124
class,91,1,0.9067064
class,91,2,0.3085284
class,91,3,0.19094715
class,91,4,0.8846166
class,91,5,0.32987714
class,91,6,0.8684362
class,91,7,0.12739287
class,91,8,0.11329314
class,91,9,0.4398822
class,92,0,0.0787443
class,92,1,0.89936155
class,92,2,0.12103148
class,92,3,0.13875067
class,92,4,0.245894
